block_id,Position,Experience,Education,probability
1,Junior,0-15,Masters,0.844155844155844
1,Junior,15-30+,Masters,0.155844155844156
2,Manager,15-30+,Masters,0.7
2,Manager,15-30+,PhD,0.3
3,Junior,0-15,Masters,0.590909090909091
3,Junior,0-15,PhD,0.253246753246753
3,Junior,15-30+,Masters,0.109090909090909
3,Junior,15-30+,PhD,0.0467532467532468
4,Senior,0-15,Masters,1.0
5,Junior,0-15,Masters,0.590909090909091
5,Junior,0-15,PhD,0.253246753246753
5,Junior,15-30+,Masters,0.109090909090909
5,Junior,15-30+,PhD,0.0467532467532468
6,Senior,15-30+,PhD,1.0
7,Senior,15-30+,Masters,1.0
8,Manager,0-15,Masters,1.0
9,Manager,0-15,PhD,1.0
10,Senior,0-15,Masters,0.844155844155844
10,Senior,15-30+,Masters,0.155844155844156
11,Manager,0-15,Masters,0.7
11,Manager,0-15,PhD,0.3
12,Manager,15-30+,Masters,1.0
13,Senior,0-15,Masters,0.7
13,Senior,0-15,PhD,0.3
14,Manager,15-30+,Masters,0.7
14,Manager,15-30+,PhD,0.3
15,Junior,0-15,PhD,0.844155844155844
15,Junior,15-30+,PhD,0.155844155844156
16,Junior,0-15,Masters,0.7
16,Junior,0-15,PhD,0.3
17,Senior,0-15,PhD,0.844155844155844
17,Senior,15-30+,PhD,0.155844155844156
18,Senior,0-15,PhD,0.844155844155844
18,Senior,15-30+,PhD,0.155844155844156
19,Senior,0-15,Masters,0.7
19,Senior,0-15,PhD,0.3
20,Junior,0-15,Masters,0.7
20,Junior,0-15,PhD,0.3
21,Junior,0-15,Masters,0.7
21,Junior,0-15,PhD,0.3
22,Senior,15-30+,Masters,1.0
23,Senior,0-15,Masters,1.0
24,Senior,0-15,Masters,1.0
25,Senior,15-30+,Masters,0.7
25,Senior,15-30+,PhD,0.3
26,Senior,0-15,PhD,0.844155844155844
26,Senior,15-30+,PhD,0.155844155844156
27,Senior,15-30+,Masters,1.0
28,Manager,15-30+,Masters,1.0
29,Manager,0-15,Masters,1.0
30,Senior,0-15,Masters,1.0
